what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1330101239969
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1330101239969
started,bundle,org.eclipse.equinox.ds,1.3.0.v20110502,"org.eclipse.equinox.ds",1330101239970
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1330101239971
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1330101239971
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1330101239972
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1330101239972
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1330101239973
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1330101239973
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1330101239974
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1330101239974
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1330101239975
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1330101239975
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1330101239975
started,bundle,org.eclipse.equinox.preferences,3.4.0.v20110502,"org.eclipse.equinox.preferences",1330101239976
started,bundle,org.eclipse.equinox.registry,3.5.100.v20110502,"org.eclipse.equinox.registry",1330101239976
started,bundle,org.eclipse.equinox.security,1.1.0.v20110502,"org.eclipse.equinox.security",1330101239977
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1330101239977
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1330101239978
started,bundle,org.eclipse.jdt.core,3.7.0.v_B61,"org.eclipse.jdt.core",1330101239979
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1330101239980
started,bundle,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui",1330101239982
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1330101239982
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1330101239983
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1330101239983
started,bundle,org.eclipse.jst.j2ee.ui,1.1.500.v201104151900,"org.eclipse.jst.j2ee.ui",1330101239984
started,bundle,org.eclipse.jst.j2ee.webservice,1.1.400.v201004110600,"org.eclipse.jst.j2ee.webservice",1330101239985
started,bundle,org.eclipse.jst.j2ee.webservice.ui,1.1.500.v201105122000,"org.eclipse.jst.j2ee.webservice.ui",1330101239985
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1330101239986
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.core",1330101239986
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1330101239987
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1330101239987
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1330101239987
started,bundle,org.eclipse.mylyn.commons.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.ui",1330101239988
started,bundle,org.eclipse.mylyn.context.core,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.core",1330101239988
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1330101239989
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1330101239989
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.tasks.ui",1330101239990
started,bundle,org.eclipse.mylyn.team.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.team.ui",1330101239991
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1330101239991
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1330101239992
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1330101239992
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1330101239993
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1330101239994
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1330101239995
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1330101239996
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1330101239996
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1330101239997
started,bundle,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.ide",1330101239998
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1330101239998
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1330101239998
started,bundle,org.eclipse.ui.navigator,3.5.100.I20110524-0800,"org.eclipse.ui.navigator",1330101239999
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1330101239999
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1330101240000
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1330101240000
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1330101240001
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1330101240002
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1330101240003
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1330101240003
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1330101240004
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1330101240004
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.100.v201011172300,"org.eclipse.wst.common.emfworkbench.integration",1330101240005
started,bundle,org.eclipse.wst.common.frameworks,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks",1330101240005
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1330101240005
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1330101240006
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1330101240006
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1330101240006
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1330101240007
os,sysinfo,,,"win32",1330101240010
arch,sysinfo,,,"x86",1330101240010
ws,sysinfo,,,"win32",1330101240010
locale,sysinfo,,,"fr_FR",1330101240010
processors,sysinfo,,,"2",1330101240010
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1330101240010
java.runtime.version,sysinfo,,,"1.6.0_29-b11",1330101240010
java.specification.name,sysinfo,,,"Java Platform API Specification",1330101240010
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330101240010
java.specification.version,sysinfo,,,"1.6",1330101240010
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1330101240010
java.version,sysinfo,,,"1.6.0_29",1330101240010
java.vm.info,sysinfo,,,"mixed mode",1330101240010
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1330101240010
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1330101240010
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1330101240010
java.vm.specification.version,sysinfo,,,"1.0",1330101240010
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1330101240010
java.vm.version,sysinfo,,,"20.4-b02",1330101240010
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330101240772
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1330101240780
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1330101240817
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101252071
started,bundle,org.eclipse.debug.core,3.7.0.v20110518,"org.eclipse.debug.core",1330101422399
started,bundle,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui",1330101422458
started,bundle,org.python.pydev.parser,2.4.0.2012020116,"org.python.pydev.parser",1330101426219
error,log,,,"Info: Rebuilding internal caches: C:\\Users\\mike\\Documents\\Blender\\python-dev\\pydev-blender\\workspaces\\Minecraft-import\\.metadata\\.plugins\\com.python.pydev.analysis\\python_v1_clwjiiq7fa3nogm3varcyhm62\\python.pydevsysteminfo (Expected error to be provided and got no error!)",1330101429476
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101435848
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101438357
error,log,,,"Info: Rebuilding internal caches: C:\\Users\\mike\\Documents\\Blender\\python-dev\\pydev-blender\\workspaces\\Minecraft-import\\.metadata\\.plugins\\org.eclipse.core.resources\\.projects\\Minecraft-import\\com.python.pydev.analysis\\AdditionalProjectInterpreterInfo.pydevinfo (Expected error to be provided and got no error!)",1330101492151
started,bundle,org.eclipse.jst.servlet.ui,1.1.500.v201105122000,"org.eclipse.jst.servlet.ui",1330101492215
started,bundle,org.eclipse.wst.jsdt.core,1.1.100.v201104272153,"org.eclipse.wst.jsdt.core",1330101492338
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1330101492693
started,bundle,org.eclipse.wst.jsdt.ui,1.1.100.v201105041953,"org.eclipse.wst.jsdt.ui",1330101492693
started,bundle,org.eclipse.jst.jee.ui,1.0.400.v201105122000,"org.eclipse.jst.jee.ui",1330101492713
started,bundle,org.eclipse.jst.j2ee.navigator.ui,1.1.500.v201012020700,"org.eclipse.jst.j2ee.navigator.ui",1330101492720
started,bundle,org.eclipse.wst.common.core,1.2.0.v200908252030,"org.eclipse.wst.common.core",1330101492750
started,bundle,org.eclipse.wst.common.modulecore,1.2.100.v201105191800,"org.eclipse.wst.common.modulecore",1330101492753
started,bundle,org.eclipse.jst.j2ee.core,1.2.100.v201105122000,"org.eclipse.jst.j2ee.core",1330101492758
started,bundle,org.eclipse.jem,2.0.500.v201104271400,"org.eclipse.jem",1330101492769
started,bundle,org.eclipse.wst.common.frameworks.ui,1.2.100.v201105122000,"org.eclipse.wst.common.frameworks.ui",1330101492787
started,bundle,org.eclipse.wst.xml.core,1.1.600.v201104251227,"org.eclipse.wst.xml.core",1330101492791
started,bundle,org.eclipse.wst.validation,1.2.300.v201104190230,"org.eclipse.wst.validation",1330101492801
started,bundle,org.eclipse.jst.j2ee,1.1.500.v201105122000,"org.eclipse.jst.j2ee",1330101492822
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1330101493187
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.300.v201011231608,"org.eclipse.jst.ws.jaxrs.core",1330101493196
started,bundle,org.eclipse.jdt.launching,3.6.0.v20110509,"org.eclipse.jdt.launching",1330101493293
started,bundle,org.eclipse.jpt.common.core,1.0.0.v201105180000,"org.eclipse.jpt.common.core",1330101494005
started,bundle,org.eclipse.jpt.jpa.core,3.0.0.v201105250001,"org.eclipse.jpt.jpa.core",1330101494011
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101495515
started,bundle,org.python.pydev.red_core,2.4.0.2012020116,"org.python.pydev.red_core",1330101495591
opened,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1330101495631
opened,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1330101495690
activated,perspective,org.python.pydev,2.4.0.2012020116,"org.python.pydev.ui.PythonPerspective",1330101495726
activated,view,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views.ContentOutline",1330101495730
activated,view,org.python.pydev,2.4.0.2012020116,"org.python.pydev.navigator.view",1330101498174
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.202.v201004211732,"org.eclipse.wst.ws.service.policy.ui",1330101500721
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1330101500722
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1330101500743
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1330101500744
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1330101501237
started,bundle,org.eclipse.compare,3.5.200.I20110525-0800,"org.eclipse.compare",1330101501245
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101509132
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101533133
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1330101533177
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1330101533177
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101544478
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101568367
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101570797
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101585072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101590166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101601385
started,bundle,org.python.pydev.customizations,2.4.0.2012020116,"org.python.pydev.customizations",1330101603997
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101609154
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101612274
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1330101612285
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1330101612285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101613002
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101620646
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101623998
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101624277
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101624601
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101624660
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101627248
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101658142
started,bundle,org.eclipse.wst.server.core,1.1.302.v20110518,"org.eclipse.wst.server.core",1330101658494
started,bundle,org.eclipse.wst.server.ui,1.1.305.v20110511,"org.eclipse.wst.server.ui",1330101658510
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1330101658515
started,bundle,org.eclipse.wst.jsdt.debug.rhino.ui,1.0.0.v201103232243,"org.eclipse.wst.jsdt.debug.rhino.ui",1330101658571
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101658833
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101659126
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101659381
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101659749
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101664350
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101664557
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101664797
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101668042
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101673784
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101674701
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101674964
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101675157
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101677653
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101805993
started,bundle,org.eclipse.wst.xsl.debug.ui,1.0.200.v201101281837,"org.eclipse.wst.xsl.debug.ui",1330101806297
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101808016
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101816665
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.refresh",1330101817374
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1330101818333
